,title,subtitle,link
0,RASH READY,Rashford AVAILABLE for Carabao Cup clash after crash in £700k Rolls-Royce,https://www.thesun.co.uk/sport/24133929/marcus-rashford-man-utd-carabao-cup-crash/
1,GLAZE OVER?,Man Utd takeover update as Ratcliffe has plan to break months-long deadlock,https://www.thesun.co.uk/sport/24141834/man-utd-takeover-sir-jim-ratcliffe-restructures-bid/
2,DONS SEXISM ROW,Wimbledon boss quit after 'saying he wants to MURDER f***ing s**g employee',https://www.thesun.co.uk/sport/24132865/wimbledon-quit-hidden-bug-employee-murder/
3,UP FOR THE CUP,Arsenal can capitalise on little-known Carabao Cup loophole at Brentford,https://www.thesun.co.uk/sport/24140653/arsenal-carabao-cup-loophole-brentford-david-raya/
4,ROLEX,"Win an incredible rose gold Rolex or £27,500 cash from just 54p with our discount",https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
5,HOT ROD,Georgina Rodriguez joins no bra club and puts on eye-popping display in corset,https://www.thesun.co.uk/sport/24135692/cristiano-ronaldo-georgina-rodriguez-no-bra-club-corset/
6,JOAO ABOUT NO,Man Utd one of two Prem clubs who SNUBBED Felix deal before he joined Barca,https://www.thesun.co.uk/sport/24138330/manchester-united-snubbed-transfer-barcelona-joao-felix/
7,GUNNER BE BACK,Declan Rice update with return date revealed after North London derby injury,https://www.thesun.co.uk/sport/24135999/declan-rice-injury-arsenal-return-date/
8,TODD'S DECREE,Boehly's transfer rule means Chelsea wouldn't look at Maddison or Ward-Prowse,https://www.thesun.co.uk/sport/24135841/chelsea-transfer-rule-james-ward-prowse-james-maddison/
9,INSTA WHAM,Sancho DEACTIVATES Instagram after he is 'banned from all Man Utd facilities',https://www.thesun.co.uk/sport/24138906/jadon-sancho-man-utd-instagram-deactivated-carrington-ban/
10,TOP FIFTY,Free bets: Get £50 welcome bonus to spend on football with Paddy Power,https://www.thesun.co.uk/sport/24092720/paddy-power-new-customer-free-bets-football/
11,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
12,WELCOME OFFER,Get £30 in free bets for the football this weekend with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
13,HE’S THE SAN,How Sane's girlfriend is helping Kane thrive at Bayern in 'dream' partnership,https://www.thesun.co.uk/sport/24135950/leroy-sane-harry-kane-candice-brook-bayern-munich/
14,FIRST CLASS,Abramovich flew me on his jet after my leg break - the women were unbelievable,https://www.thesun.co.uk/sport/24139320/roman-abramovich-wayen-bridge-private-jet-chelsea/
15,ROGUE DEVILS,We live near Man Utd's training ground and their stars drive recklessly,https://www.thesun.co.uk/sport/24132419/manchester-united-training-ground-stars-drive/
16,"MARC'S, SET, GO",Chelsea's £62m transfer flop Cucurella targeting exit as struggles continue,https://www.thesun.co.uk/sport/24133727/chelsea-transfer-marc-cucurella-pochettino/
17,RAIDER AT LARGE,Suspect wanted over armed raid on Raheem Sterling’s home on run in Albania,https://www.thesun.co.uk/sport/24134101/suspect-raid-raheem-sterling-home-albania/
18,FERGIE TIME,Duncan Ferguson lands Inverness job as ex Gers star back in Scottish game,https://www.thesun.co.uk/sport/24139053/duncan-ferguson-inverness-manager-job-rangers-everton-newcastle/
19,'MY CHAMPION',Chelsea Women's boss Emma Hayes' pays emotional tribute as dad dies,https://www.thesun.co.uk/sport/24132331/chelsea-women-emma-hayes-dad/
20,HEATED EXCHANGE,Bellingham and Azpilicueta row revealed after moaning over 'time-wasting',https://www.thesun.co.uk/sport/24137293/jude-bellingham-cesar-azpilicueta-real-atletico-madrid-derby/
21,JOHN THE MOVE,Chelsea icon Terry closing in on next career move after spell at Leicester,https://www.thesun.co.uk/sport/24134895/chelsea-john-terry-career-move-al-shabab/
22,FRIENDLY ADVICE,Rashford and Maguire ‘beg Sancho to APOLOGISE to Ten Hag to end exile’,https://www.thesun.co.uk/sport/24134843/man-utd-rashford-maguire-sancho-apologise-ten-hag/
23,FOOTBRAWL,"Football chief BIT me then pal kicked me in head at shopping mall, claims fan",https://www.thesun.co.uk/sport/24130481/football-chief-bit-kicking-fan-shopping-mall-flamengo/
24,A LOTT TO PROVE,Prem icon 'to replace Ancelotti at Real' after flying start to life as boss,https://www.thesun.co.uk/sport/24134018/real-madrid-xabi-alonso-next-manager-ancelotti-leverkusen/
25,,David Beckham reveals moment at Man Utd he knew he 'fancied' wife Victoria,https://www.thesun.co.uk/sport/24131912/david-beckham-man-utd-victoria/
26,DRESSING DOWN,Chelsea co-owner risks backlash as he visits dressing room after EVERY GAME,https://www.thesun.co.uk/sport/24130936/chelsea-eghbali-dressing-room-boehly/
27,GOOD CALL,All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk-2023/
28,OUT OF THEIR LEAGUE,Supercomputer predicts final Prem table with critical drop for Man Utd,https://www.thesun.co.uk/sport/24115417/supercomputer-premier-league-table-man-utd-burnley/
29,HARV DONE BY,Barnes injury update with star set to miss 'months' in huge Newcastle blow,https://www.thesun.co.uk/sport/24138976/harvey-barnes-injury-update-newcastle/
30,ACE TRAGEDY,"Maddy Cusack's death not suspicious, police say as they release update",https://www.thesun.co.uk/sport/24122544/maddy-cusack-death-not-suspicious-police-update-tragedy/
31,,Son Heung-min awkwardly corrected by reporter for saying team-mate's name wrong,https://www.thesun.co.uk/sport/24137286/son-heung-min-awkward-tottenham-team-mates-name-wrong/
32,CASE CLOSED,Best Online Casinos UK - Casino sites top-rated by experts September 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
33,CARR BLIMEY,Ramsdale's dad slams 'disgraceful' Carragher after remarks about son's antics,https://www.thesun.co.uk/sport/24113548/aaron-ramsdale-dad-jamie-carragher-arsenal-raya/
34,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
35,TOP OF THE SLOTS,Best payout slots for UK revealed - and where you can play them,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
36,QUICK BUCKS,Get cash quick as a flash with our guide to the best instant withdrawal casinos,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
37,FIGHT CLUB,Chaos as Ajax thugs riot and smash up stadium after Feyenoord game is abandoned,https://www.thesun.co.uk/sport/24109479/ajax-feyenoord-abandoned-flares-thrown-pitch/
38,,Arsenal legend amongst empty stadium seats to raise awareness for heart issues,https://www.thesun.co.uk/sport/24113654/arsenal-legend-david-seaman-heart-conditions/
39,WHAT A GALLE,Model who went viral after going to football match braless slams fans,https://www.thesun.co.uk/sport/24136178/clara-galle-viral-football-match-braless-osasuna/
40,LONG GAME,Sean Longstaff reveals what Amanda Staveley did after Newcastle broke Prem,https://www.thesun.co.uk/sport/24127703/sean-longstaff-amanda-staveley-newcastle-premier-league-record/
41,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
42,LOVE AND CHERISH,Heartbreaking video of ex-Arsenal star's wedding 3 months before wife died,https://www.thesun.co.uk/sport/24107723/derby-josh-vickers-wife-died-cancer-battle/
43,,Fans spot Bellingham's 'classy' gesture after Real's loss to Atletico,https://www.thesun.co.uk/sport/24125107/real-madrid-news-jude-bellingham-atletico-crest/
44,HIGH-VIS PESTS,Brondby ultras called 'Denmark's most f***ed up fans' as they hurl DEAD RATS,https://www.thesun.co.uk/sport/24132082/brondby-fans-dead-rats-on-pitch-copenhagen/
